fold,train_year_min,train_year_max,val_year_min,val_year_max,n_train,n_val,val_r2,val_rmse
1,1967,1976,1977,1985,124,1472,0.26297884548088746,1.093646764755249
2,1967,1985,1987,1995,1596,2949,0.5220909419688612,1.1057316064834595
3,1967,1995,1997,2005,4545,5450,0.716465636078994,0.8339396715164185
4,1967,2005,2006,2015,9995,8901,0.9083462551564743,0.38342371582984924
