fold,train_year_min,train_year_max,val_year_min,val_year_max,n_train,n_val,val_r2,val_rmse
1,1967,1976,1977,1985,124,1226,0.33092098597181374,1.0166491270065308
2,1967,1985,1987,1995,1350,2711,0.5770461301720443,1.072977900505066
3,1967,1995,1997,2005,4061,5260,0.8206008495946806,0.669339656829834
4,1967,2005,2006,2015,9321,8244,0.9000209546584887,0.40123918652534485
