fold,train_year_min,train_year_max,val_year_min,val_year_max,n_train,n_val,val_r2,val_rmse
1,1967,1974,1977,1983,118,1049,-0.19549438116815687,1.2938907146453857
2,1967,1983,1984,1991,1167,1273,0.5159540814917039,0.8053197264671326
3,1967,1991,1992,2000,2440,3136,0.635262149156633,1.43425452709198
4,1967,2000,2001,2008,5576,7850,0.8221862828244634,0.5362712740898132
5,1967,2008,2009,2017,13426,7202,0.7233915172514178,0.6991533041000366
