fold,train_year_min,train_year_max,val_year_min,val_year_max,n_train,n_val,val_r2,val_rmse
1,1993,1993,2000,2001,202,26,-41.41727583200874,50.76997375488281
2,1993,2001,2002,2005,228,1675,-22.807576624560365,52.54597854614258
3,1993,2005,2006,2008,1903,260,0.5486357364485179,7.791398525238037
4,1993,2008,2011,2013,2163,131,0.6010219098981848,3.973255157470703
