,sea_ice_melt_mean,sea_ice_melt_std_dev,sea_ice_melt_trend,meteoric_mean,meteoric_std_dev,meteoric_trend,net_liquid_freshwater_mean,net_liquid_freshwater_std_dev,net_liquid_freshwater_trend
0,,,1844.1269700526416,,,3174.337972295073,,,5018.464942347715
1,,,1843.1484135265007,,,3173.8975707118725,,,5017.045984238373
2,,,1842.1698570003598,,,3173.4571691286724,,,5015.627026129033
3,,,1841.191300474219,,,3173.016767545472,,,5014.208068019691
4,,,1840.212743948078,,,3172.5763659622717,,,5012.78910991035
5,,,1839.2341874219373,,,3172.135964379071,,,5011.370151801008
6,2258.523874651106,745.9969727271103,1838.2556308957965,4233.432847640882,893.5454397053193,3171.695562795871,6491.956722291988,1639.5424124324295,5009.951193691668
7,2303.2856851094148,782.8453801201246,1837.2770743696556,4286.245740747354,937.636192681811,3171.2551612126704,6589.531425856769,1720.4815728019357,5008.532235582326
8,2285.681266727054,762.2793630384195,1836.2985178435147,4243.23639226812,891.4169847567223,3170.8147596294702,6528.917658995174,1653.6963477951417,5007.113277472985
9,2265.7007471022084,737.2282425688734,1835.3199613173738,4196.015465589152,838.6554496620003,3170.3743580462697,6461.716212691361,1575.8836922308737,5005.694319363643
10,2252.754994313916,727.1909914997683,1834.341404791233,4164.004550646527,820.0113350303764,3169.9339564630695,6416.759544960443,1547.2023265301445,5004.275361254303
11,2219.629076058071,716.9344987710759,1833.362848265092,4096.548888938928,808.8787466932436,3169.493554879869,6316.177964996999,1525.8132454643196,5002.856403144961
12,2177.43828022736,723.8774719190392,1832.384291738951,4011.544231167014,833.2225655147363,3169.053153296669,6188.982511394373,1557.1000374337755,5001.43744503562
13,2173.4817577602125,726.2374313803435,1831.4057352128102,3978.7943535325817,851.4494221252095,3168.6127517134682,6152.276111292795,1577.686853505553,5000.018486926279
14,2166.934716715206,732.4312120552272,1830.4271786866693,3958.192543581436,860.471793374578,3168.172350130268,6125.127260296642,1592.9030054298053,4998.599528816938
15,2157.6349694652276,745.7890615768559,1829.4486221605287,3926.164193812479,902.9033120931157,3167.7319485470675,6083.799163277707,1648.6923736699716,4997.180570707596
16,2157.2648336573784,746.3737949109714,1828.4700656343878,3912.7647738557735,926.7018058638326,3167.2915469638674,6070.029607513152,1673.0756007748041,4995.761612598255
17,2183.3738262912534,748.4512220262146,1827.4915091082469,3946.023134479619,940.0199005773484,3166.851145380667,6129.396960770872,1688.471122603563,4994.342654488914
18,2153.3854927916072,745.1973692304776,1826.512952582106,3888.4842016675193,932.7847144990968,3166.4107437974667,6041.869694459127,1677.9820837295745,4992.923696379573
19,2056.8408933024916,678.1303077680574,1825.534396055965,3722.62880861297,831.1608893434707,3165.970342214266,5779.469701915461,1509.2911971115282,4991.504738270231
20,2029.5661011447976,641.5681305591992,1824.5558395298242,3669.372208669342,766.2197148892479,3165.529940631066,5698.93830981414,1407.7878454484471,4990.08578016089
21,2007.3530028790744,608.0025994823333,1823.5772830036833,3626.896352226184,708.6283205857105,3165.0895390478654,5634.2493551052585,1316.630920068044,4988.666822051549
22,1959.5103779908595,569.0833181529351,1822.5987264775424,3542.523123146202,661.8356252068909,3164.6491374646653,5502.033501137062,1230.918943359826,4987.247863942208
23,1921.657115422895,562.843192505812,1821.6201699514015,3473.23280613203,668.4677131240544,3164.2087358814647,5394.8899215549245,1231.3109056298663,4985.828905832866
24,1909.4866253447483,566.3300981699313,1820.6416134252609,3443.6325681510357,682.800487597117,3163.7683342982646,5353.119193495784,1249.1305857670482,4984.409947723526
25,1897.5734757744592,571.6849852809371,1819.66305689912,3423.8062188369204,689.2397381700789,3163.327932715064,5321.37969461138,1260.924723451016,4982.990989614184
26,1886.2912174793275,581.8311750727918,1818.684500372979,3388.5482664039973,696.7544635563031,3162.887531131864,5274.839483883325,1278.5856386290948,4981.572031504843
27,1886.2706940930814,581.8608590060703,1817.7059438468382,3414.0880564838385,671.8932893646437,3162.4471295486633,5300.35875057692,1253.7541483707141,4980.153073395501
28,1911.1966758478618,547.7652335268871,1816.7273873206973,3465.039075304792,598.1103630385195,3162.006727965463,5376.235751152653,1145.8755965654066,4978.734115286161
29,1848.0672119282729,532.8051030012036,1815.7488307945564,3348.8057302022576,514.9038160654709,3161.5663263822626,5196.872942130531,1047.7089190666745,4977.315157176819
30,1857.4016970555967,537.5624077158625,1814.7702742684155,3354.5131058610186,519.0146875102503,3161.1259247990624,5211.914802916615,1056.5770952261128,4975.896199067478
31,1880.8002527097542,550.1047139743181,1813.7917177422746,3388.2702816723818,530.7190319662216,3160.685523215862,5269.0705343821355,1080.8237459405395,4974.4772409581365
32,1865.6252318639688,527.5797567134069,1812.8131612161337,3360.372306577374,486.3556852434264,3160.2451216326617,5225.997538441343,1013.9354419568333,4973.058282848796
33,1854.7681684061583,508.6376130822004,1811.8346046899928,3341.146409656659,448.21498625478455,3159.804720049461,5195.914578062818,956.8525993369849,4971.639324739454
34,1848.128854441301,504.9187203844246,1810.8560481638522,3328.417669537577,446.86857137506706,3159.364318466261,5176.546523978877,951.7872917594916,4970.220366630113
35,1843.5783323254889,505.516728112561,1809.8774916377113,3319.001301320228,454.21985528344345,3158.9239168830604,5162.579633645717,959.7365833960044,4968.8014085207715
36,1831.4290945629102,511.00515104860364,1808.8989351115704,3295.085804031705,479.6673307874666,3158.4835152998603,5126.514898594615,990.6724818360702,4967.382450411431
37,1809.6146800329154,526.7754967457911,1807.9203785854295,3240.6722082496967,533.6255671812726,3158.0431137166597,5050.286888282612,1060.4010639270637,4965.963492302089
38,1800.7826824294455,535.9609449322112,1806.9418220592886,3210.6423969020593,553.4547727141173,3157.6027121334596,5011.425079331505,1089.4157176463286,4964.544534192748
