time,sea_ice_melt_mean,sea_ice_melt_std_dev,sea_ice_melt_trend,meteoric_mean,meteoric_std_dev,meteoric_trend,net_liquid_freshwater_mean,net_liquid_freshwater_std_dev,net_liquid_freshwater_trend
1999-08-16 12:00:00,916.1506644677502,295.8932473182498,716.6047987274889,183.95946006311803,112.51656464602569,73.93859722300742,1100.1101245308682,408.4098119642755,790.5433959504962
1999-09-16 00:00:00,912.788929444407,293.47437749696115,717.2965344786464,187.55091905049437,108.55340611521405,72.9806617543994,1100.3398484949014,402.0277836121752,790.2771962330459
1999-10-16 12:00:00,924.0733534616752,294.1401400768875,717.9882702298041,189.03005962976601,106.86533929463789,72.02272628579139,1113.1034130914413,401.00547937152544,790.0109965155955
1999-11-16 00:00:00,922.069692914422,295.8303250855933,718.6800059809618,194.1765731431899,100.34456156547387,71.06479081718336,1116.246266057612,396.17488665106714,789.7447967981451
1999-12-16 12:00:00,941.8098630302384,276.02645647056977,719.3717417321194,200.25576783418163,98.45801515274883,70.10685534857535,1142.06563086442,374.4844716233186,789.4785970806947
2000-01-16 12:00:00,926.5537712618794,288.209981585945,720.0634774832771,199.93172223311777,98.45043365047974,69.14891987996732,1126.4854934949972,386.66041523642474,789.2123973632443
2000-02-15 12:00:00,908.547344317864,299.28050915977826,720.7552132344347,196.8329154626093,97.59433204483408,68.19098441135931,1105.3802597804734,396.8748412046123,788.946197645794
2000-03-16 12:00:00,907.0665008488926,299.9899482553677,721.4469489855924,199.38878905216612,98.78348087815117,67.23304894275128,1106.4552899010587,398.7734291335189,788.6799979283436
2000-04-16 00:00:00,889.4479298569007,307.6839341506198,722.1386847367501,191.54348637206144,88.9995849241773,66.27511347414327,1080.9914162289622,396.6835190747971,788.4137982108932
2000-05-16 12:00:00,893.6604052252387,305.11654902511304,722.8304204879076,207.44288484403637,95.37552032558551,65.31717800553524,1101.103290069275,400.49206935069856,788.1475984934428
2000-06-16 00:00:00,860.7868591877177,292.9276203099552,723.5221562390653,195.1685813443038,79.29607254344917,64.35924253692723,1055.9554405320214,372.2236928534044,787.8813987759925
2000-07-16 12:00:00,859.458858523359,292.75042529197987,724.2138919902229,193.8912455648831,80.46852513225032,63.4013070683192,1053.350104088242,373.2189504242302,787.6151990585421
2000-08-16 12:00:00,794.0084831572258,149.11312765672588,724.9056277413806,189.24016692989449,78.46780397009992,62.443371599711185,983.2486500871203,227.58093162682582,787.3489993410917
2000-09-16 00:00:00,765.8361895790135,115.61735258133096,725.5973634925383,193.26911962313912,74.15151867310243,61.48543613110316,959.1053092021526,189.7688712544334,787.0827996236413
2000-10-16 12:00:00,740.260649866877,91.69101948514486,726.2890992436959,192.07804669052882,76.14192306063597,60.52750066249514,932.3386965574058,167.83294254578084,786.816599906191
2000-11-16 00:00:00,741.045879666167,91.05744478350897,726.9808349948536,193.39359634772373,74.50665239938398,59.569565193887115,934.4394760138907,165.56409718289297,786.5504001887406
2000-12-16 12:00:00,727.5107522342875,98.47847621136026,727.6725707460112,188.83792598868308,75.45480841607055,58.6116297252791,916.3486782229705,173.9332846274308,786.2842004712902
2001-01-16 12:00:00,724.0164165024374,102.96714748781896,728.3643064971689,188.18814554960463,75.38552943247814,57.65369425667107,912.2045620520421,178.35267692029709,786.0180007538398
2001-02-15 00:00:00,725.5804947041788,101.64472281096091,729.0560422483265,186.39055389107034,75.17551638889987,56.69575878806306,911.9710485952492,176.8202391998608,785.7518010363895
2001-03-16 12:00:00,715.7592057842071,103.95901593835458,729.7477779994841,178.02917243312694,72.13875812898813,55.73782331945503,893.7883782173341,176.0977740673427,785.4856013189391
2001-04-16 00:00:00,720.6486209479876,102.58570899988655,730.4395137506418,174.40242982756732,68.66086637677522,54.77988785084702,895.0510507755549,171.24657537666178,785.2194016014887
2001-05-16 12:00:00,733.4709568834483,112.13562955387687,731.1312495017994,166.1864263855458,53.567966232985654,53.82195238223899,899.6573832689941,165.70359578686254,784.9532018840384
2001-06-16 00:00:00,747.8404244925983,128.43222916646792,731.8229852529571,168.45534543432106,57.18832907986151,52.86401691363098,916.2957699269194,185.62055824632944,784.6870021665881
2001-07-16 12:00:00,762.1325272757089,151.13031925910673,732.5147210041148,175.06798790851994,55.00244054260278,51.90608144502296,937.2005151842288,206.1327598017095,784.4208024491377
2001-08-16 12:00:00,796.2499510156277,215.26853417546573,733.2064567552724,178.9347235337016,58.0161202405898,50.948145976414935,975.1846745493293,273.28465441605556,784.1546027316873
2001-09-16 00:00:00,838.3593405660122,251.97014728806948,733.8981925064301,180.22658136407912,57.160246303023555,49.99021050780692,1018.5859219300913,309.130393591093,783.8884030142369
2001-10-16 12:00:00,837.9824372518211,252.18525529074233,734.5899282575876,183.21885877806577,51.439078407686914,49.03227503919889,1021.2012960298869,303.62433369842927,783.6222032967866
2001-11-16 00:00:00,844.5759043119956,248.76101180207212,735.2816640087453,192.32338777955803,46.58214900314178,48.07433957059088,1036.8992920915537,295.34316080521387,783.3560035793362
2001-12-16 12:00:00,847.3080912911946,246.23922491207628,735.9733997599029,197.3489853895172,44.76592591686896,47.11640410198285,1044.6570766807117,291.00515082894526,783.0898038618858
2002-01-16 12:00:00,860.3321957898085,235.4087666845053,736.6651355110606,200.52440294603193,45.66286379264755,46.15846863337484,1060.8565987358404,281.07163047715284,782.8236041444354
2002-02-15 00:00:00,874.5959918011393,227.1320019705904,737.3568712622183,203.88848066924427,45.903642411282114,45.20053316476681,1078.4844724703837,273.03564438187254,782.557404426985
2002-03-16 12:00:00,875.5921160153056,226.11400362173814,738.0486070133759,206.7179637505295,44.04561656074924,44.242597696158796,1082.310079765835,270.1596201824874,782.2912047095347
